eid,doi,year,authors,first_author,title,journal,issn,eissn,volume,pages,citedby,openaccess,authkeywords,abstract,ajg2024,ajg_field
2-s2.0-105022720058,10.1111/beer.70054,2025,Chiu S.Y.; Huang C.P.; Chiu Y.H.; Tzeng K.Y.,Chiu S.Y.,A Multi-Stage Efficiency Analysis of Taiwan's Semiconductor Industry: Integrating ESG and Artificial Intelligence Perspectives,Business Ethics the Environment and Responsibility,26946416,26946424,,,0,0,"artificial intelligence (AI) | efficiency analysis | environmental, social, and governance (ESG) | semiconductor industry | sustainability","The semiconductor industry is central to global technological progress but increasingly faces the challenge of balancing financial performance with rising environmental, social, and governance (ESG) expectations. While ESG and artificial intelligence (AI) are widely regarded as strategic priorities, limited empirical research has investigated their combined influence on firm-level efficiency in high-tech, capital-intensive sectors. This study addresses this gap by applying a three-stage Data Envelopment Analysis (DEA) to evaluate the performance of 33 publicly listed semiconductor firms in Taiwan across profitability, sustainability, and market value. The model reflects the sequential value-creation process: the Profit stage measures how R&D and labor are transformed into innovation output (intangible assets and income); the Sustainability stage assesses how governance and environmental inputs shape ESG scores; and the Market stage examines how ESG performance and capital investment affect market valuation. Stage-specific efficiency is measured using ESG and structural variables aligned with the semiconductor sector's vertically disintegrated and interdependent value chain. AI-driven innovation is proxied by patent activity. Results reveal performance disparities across stages: Market stage efficiency ranks highest (0.9664), followed by Profit stage, while Sustainability stage lags—highlighting an ESG implementation gap in otherwise competitive firms. Tobit regression analysis shows that AI-driven innovation enhances sustainability efficiency, whereas firm size and leverage are more closely linked to profitability. This study proposes a multi-stage framework integrating ESG and AI to evaluate sustainable innovation in high-tech sectors, offering insights into how firms can balance competitiveness with long-term sustainability.",2,ETHICS-CSR-MAN
2-s2.0-105017980452,10.48009/1_iis_103,2025,Hyiamang O.; Liu X.,Hyiamang O.,"Artificial Intelligence (AI) strategies for organizational innovation, growth, and productivity: a multi-case study approach",Issues in Information Systems,15297314,,26,20-36,3,1,artificial intelligence | growth | innovation | productivity | strategies,"Organizations increasingly integrate AI strategies to drive innovation, growth, and productivity across industries. This study employs a multiple-case study methodology to analyze AI’s impact across 11 organizations, examining adoption levels, strategic implementation, and business performance outcomes. It presents a comparative analysis of pre- and post-AI adoption financial performance, highlighting AI’s role in enhancing decision-making, streamlining operations, and optimizing resource allocation. Additionally, the study identifies industry-specific best practices for successful AI implementation, emphasizing leadership commitment, data governance, and workforce upskilling as critical factors. The research also evaluates long-term sustainability challenges, including ethical concerns, regulatory constraints, and integration costs. Findings suggest that organizations with well-structured AI strategies achieve higher productivity, competitive advantages, and scalable innovation, though success depends on industry alignment and organizational readiness. By offering insights into AI-driven transformation, this study contributes to the discourse on AI’s strategic role in fostering business resilience and sustainable growth.",,
2-s2.0-105020044901,10.22495/cbsrv6i4art4,2025,Nakajima R.,Nakajima R.,VALUATION OF CORPORATE STRATEGY FOR ADOPTING GENERATIVE ARTIFICIAL INTELLIGENCE IN B2B OPERATIONS,Corporate and Business Strategy Review,27089924,27084965,6,40-53,0,1,AI Integration | B2B Operations | Corporate Strategy | Generative AI | Operational Efficiency,"This paper explores the valuation of corporate strategies for integrating generative artificial intelligence (AI) within business-tobusiness (B2B) business models, focusing on its impact on operational efficiency, customer engagement, and competitive advantage. The research problem centres on the strategic challenges and opportunities associated with the adoption of generative this. The purpose of the study is to provide actionable insights into AI that enhance strategies for improved business performance. The methodology employs a mixed-methods approach, incorporating both quantitative data (e.g., surveys) and qualitative insights (e.g., expert interviews). Key findings reveal that operational efficiency is the primary driver for AI adoption, with companies reporting significant productivity improvements in manufacturing and logistics. However, barriers such as high initial costs and resistance to change are prevalent. The study concludes that aligning AI initiatives with strategic goals is crucial for longterm success and competitive positioning. These findings highlight the transformative potential of generative AI in B2B industries and underline the need for strategic alignment, ongoing training, and investment in AI technologies.",,
2-s2.0-105019357602,10.1080/13675567.2025.2573664,2025,Ruangkanjanases A.; Chen S.C.; Sivarak O.; Khan A.,Ruangkanjanases A.,Achieving green competitive advantage through generative AI: the mediating roles of organisational creativity and green innovation ambidexterity in manufacturing,International Journal of Logistics Research and Applications,13675567,1469848X,,,5,1,environmental context | Generative AI capabilities | green competitive advantage | green innovation ambidexterity | organisational context | technological context,"This study examines the implementation pathway of Generative AI Capabilities (GAIC) in manufacturing organisations, focusing on the roles of organisational creativity and green innovation ambidexterity in achieving a green competitive advantage. Drawing on the Technology-Organisation-Environment (TOE) framework, this research develops and empirically tests an integrated model using data collected from 297 senior and middle-level managers of manufacturing firms in Taiwan. The results indicate that both technological and organisational contexts have a significant influence on GAIC implementation, whereas the environmental context shows no significant impact. Furthermore, GAIC demonstrates significant positive effects on both organisational creativity and green innovation ambidexterity, which in turn enhances green competitive advantage. This study addresses critical research gaps by making several contributions by extending the TOE framework to encompass GAIC, thereby advancing the understanding of human-AI collaborative creativity. The findings provide novel insights into how manufacturing organisations can strategically implement GAIC to achieve a green competitive advantage.",1,OPS&TECH
2-s2.0-105005556598,10.28924/2291-8639-23-2025-101,2025,Jantapoon K.,Jantapoon K.,The Impact of Smart Warehousing and Last-Mile Delivery on E-commerce Supply Chain Performance: An Empirical Study Using Machine Learning-Enhanced SEM Analysis,International Journal of Analysis and Applications,,22918639,23,,2,1,competitive advantage | customer satisfaction | e-commerce | last-mile delivery | logistics optimization | machine learning | operational efficiency | smart warehousing | supply chain performance,"This study investigates the pivotal roles of smart warehousing and last-mile delivery in enhancing e-commerce supply chain performance, utilizing advanced machine learning-enhanced Structural Equation Modeling (SEM) for analysis. The findings reveal that the effective integration of smart warehousing solutions significantly improves operational efficiencies in inventory management, order fulfillment, and logistics responsiveness. Moreover, optimizing last-mile delivery emerges as a critical factor directly influencing customer satisfaction and competitive advantage within the digital marketplace. The study highlights practical implications for e-commerce practitioners, emphasizing the necessity for investments in innovative technologies and the development of strategic partnerships to optimize logistics processes. Additionally, this research encourages scholars to further explore the intersection of intelligent logistics solutions and supply chain performance through longitudinal studies and diverse methodological approaches. Ultimately, this research contributes to the understanding of supply chain dynamics in e-commerce and serves as a foundation for future inquiries into enhancing performance through the strategic deployment of advanced technologies.",,
2-s2.0-105024691136,10.1108/EJM-06-2024-0535,2025,N. Tehrani A.; Roy S.K.,N. Tehrani A.,"Navigating technological disruptions: the interplay of AI-based stakeholder engagement, marketing agility, and firm performance",European Journal of Marketing,03090566,,,1-28,0,1,Artificial intelligence | Marketing agility | New-age technologies | Stakeholder engagement | Technology turbulence,"Purpose – This study aims to examine how artificial intelligence (AI)-based stakeholder engagement can enhance marketing agility and improve firm performance, particularly in environments with high technological turbulence. Design/methodology/approach – Data were collected through a survey of 335 companies across diverse industries in Australia, using validated scales for AI-based stakeholder engagement, marketing agility, firm performance and technology turbulence. Partial least squares structural equation modelling was used to analyse the data. Findings – The results indicate that engaging stakeholders through AI technologies positively influences marketing agility, which in turn enhances firm performance. These effects are amplified in conditions of high technology turbulence. Research limitations/implications – This study focuses solely on technological turbulence as a moderating factor. Future research should replicate these findings and explore additional moderating factors to enhance understanding of AI’s impact on marketing dynamics. Practical implications – Businesses should invest in and leverage AI to improve interaction with stakeholders, as it can enhance their ability to respond swiftly to market changes and significantly boost overall performance. These implications are especially crucial for firms operating in environments highly disrupted by technological advancements. Originality/value – This study bridges literature gaps by highlighting how firms can use AI as a tool to engage suppliers, employees and other stakeholders effectively. This engagement enhances their capabilities to respond to changes in dynamic and disrupted markets. Additionally, this study sheds light on the boundary conditions of these relationships.",3,MKT
2-s2.0-105006890870,10.1007/s10961-025-10217-7,2025,D’Amico E.; Belitski M.; Braga A.; Savoie R.,D’Amico E.,Enhancing knowledge spillover of innovation through artificial intelligence: an empirical investigation,Journal of Technology Transfer,08929912,15737047,,,20,1,AI adoption | Artificial intelligence | Innovation | Knowledge collaboration | Knowledge transfer,"Effective technological innovation relies on having ample knowledge resources to enhance firm performance and knowledge creation. Innovators seek both internal and external knowledge, actively engaging in a continuous search for these valuable resources. Knowledge collaboration is a specific strategy that innovative firms can follow during Artificial Intelligence (AI) adoption processes. This study investigates the role of AI and knowledge collaboration in firm innovation. Using data from 14,143 firms in the UK between 2004 and 2020, we explore how AI adoption impacts knowledge spillover of innovation. Our findings suggest that firms adopting AI can enhance their innovation performance if it complements firm’s own investment in R&D. AI adoption can substitute knowledge collaboration with certain external partners. The results help us to rethink resource allocation for knowledge spillover of innovation in the era of AI and digital technologies.",3,INNOV
2-s2.0-105014949205,10.1108/JHTT-09-2024-0622,2025,Rafdinal W.; Andrianto T.; Leo G.; Gaffar M.R.; Putra F.K.K.,Rafdinal W.,AI-driven competitive advantage model in tourism: integrating model of HOTE model and performances model (HOTE-P adoption model),Journal of Hospitality and Tourism Technology,17579880,17579899,,,2,0,Artificial intelligence | Competitive advantage | Destination performances | Human–organisation–technology–environment model | 人-组织-技术-环境模型 | 人工智能 | 旅游目的地绩效 | 竞争优势,"Purpose This study aims to discover the competitive advantage of tourist destinations that adopted artificial intelligence (AI) by integrating the human–organisation–technology–environment (HOTE) model and performance model. Design/methodology/approach The data were collected via a survey of 136 tourist destination managers who used AI and analysed using the structural equation modelling-partial least squares and importance performance map analysis. Findings This study’s findings demonstrate that human, organisational, technological and environmental factors are crucial determinants in AI adoption, influencing managerial performance, destination performance and social performance. These three performance aspects confirmed their influence on competitive advantage. Practical implications Practically, this study encourages the tourism industry to increase the adoption of AI in tourism destination management, thereby improving performance and competitive advantage. Through this study, destination marketing managers, governments and others concerned with the tourism industry’s future development can create effective ways to increase the adoption of AI in this industry. Originality/value To the best of the authors’ knowledge, this study is the first to empirically use the HOTE model and performance model in analysing the competitive advantage of tourist destinations.",1,SECTOR
2-s2.0-105010209375,10.1109/TEM.2025.3585975,2025,Platania F.; Toscano Hernandez C.; El Ouadghiri I.; Peillex J.,Platania F.,Harnessing the Power of AI in RD&E Management: The Innovation Index,IEEE Transactions on Engineering Management,00189391,15580040,72,3055-3064,3,0,Artificial intelligence (AI) | development and engineering (RD&E) | engineering management | excess of return | innovation | Kalman filter | research,"This article investigates the complex relationship between artificial intelligence (AI)-related technological innovation and its impact on the market returns of leading technology companies. We introduce the “Innovation Index,” a latent variable based on the number of AI-related patents, and incorporate it into the traditional Fama–French model to better capture the influence of AI advancements on financial performance. Using a state-space representation, our empirical analysis suggests that AI-related innovation significantly contributes to the market returns of prominent and leading technology firms. The findings highlight the strategic importance of AI investments in sustaining long-term growth and competitiveness.",3,OPS&TECH
2-s2.0-105019240713,10.32479/irmm.20649,2025,Iankovets T.; Järvis M.; Fomin O.; Chernobrovkina S.; Shvets S.,Iankovets T.,Using Machine Learning to Improve Brand Management in an Online Environment,International Review of Management and Marketing,,21464405,15,118-125,0,1,Artificial Intelligence | Brand Management | Content Personalization | Machine Learning | Marketing Strategies | Social Outreach,"The artificial intelligence (AI) solutions are used to personalize content, analyse consumer behaviour, and automate marketing processes. Studying the impact of machine learning (ML) on brand management (BM) helps to understand its role in improving the companies’ competitiveness in the global market. The aim of the study is to assess the ML’s impact on the BM effectiveness of leading companies from different countries for 2020-2023. The research employed the following methods: econometric methods, including multiple linear regression, panel data analysis, and comparative analysis of BM effectiveness between companies from different countries. The study confirmed the significant ML’s impact on BM effectiveness. Companies that actively use AI have higher social reach and positive reviews. Adidas demonstrates the highest BM Score (99.21), confirming the effectiveness of ML strategies in marketing. Amazon (85.51) and Apple (86.81) also have stable results due to personalized content and analysis of customer behaviour. Alibaba leads in social engagement (SE = 16.87%), which helps to engage customers. Burberry (PR = 68.40%) and Almarai (PR = 70.66%) have high levels of positive reviews, increasing consumer trust. Faster response times improve customer loyalty. It was found that companies that invest in content personalization and consumer behaviour analysis achieve better financial results and higher customer loyalty. Investment in social interaction and fast processing of customer requests are positively correlated with the overall success of the brand. The uniqueness of the study is that the proposed model quantitatively assesses the impact of individual factors on the BM effectiveness. A comparative analysis of the effectiveness of AI-based BM between selected countries was conducted for the first time. Further research can focus on analysing the long-term effects of implementing ML in BM. An important direction is to assess the AI role in shaping consumer behaviour. As well as studying the impact of AI algorithms on the financial performance of companies in various sectors of the economy.",,
2-s2.0-105024586370,10.1108/IJEBR-08-2024-0814,2025,Jabbouri R.; Issa H.; Truong Y.,Jabbouri R.,AI characteristics and competitive advantage: the moderating role of resource allocation,International Journal of Entrepreneurial Behaviour and Research,13552554,,,1-23,1,0,Abstraction | AI | Next-generation PCI | Resource-based view | Social entrepreneurship,"Purpose – This research explores how artificial intelligence's (AI’s) distinct capabilities (interactivity, autonomy, inscrutability and abstraction), manifested as unique characteristics, impact decision-making in resource-limited social entrepreneurship, assessing their effect on competitive advantage with resource allocation as a key moderator. By analyzing such tensions, this research aims to bridge critical gaps in understanding how emerging technologies influence decisions in social entrepreneurship. Design/methodology/approach – By adopting a dual theoretical framework (next-generation perceived characteristics of innovations [PCI] and resource-based view), this research employs a quantitative empirical approach by gathering data through e-surveys (n = 269) from a professional database and two prominent conferences in AI and social entrepreneurship. Findings – Linear and nonlinear relationships among AI characteristics and decision-making emerge, with the potential for moderation effects influenced by resource allocation. Originality/value – This research makes four key contributions: empirically examining how distinct AI capabilities, manifested through unique characteristics, influence decision-making in the social entrepreneurship context; conceptually introducing “abstraction” as a novel AI capability; theoretically integrating the next-generation PCI framework with the resource-based view for a novel theoretical lens and practically developing a calibration graph as a “prototype” tool to quantify AI abstraction for resource-limited social entrepreneurship, thus potentially enabling optimal decision-making and consequently competitive advantage.",3,ENT-SBM
2-s2.0-105003034853,10.1109/TEM.2025.3550400,2025,Zhou Y.; Liu S.S.; Xu X.; Cheng T.C.E.,Zhou Y.,Enhancing Competitive Advantage Through AI-Driven Live Streaming Sales,IEEE Transactions on Engineering Management,00189391,15580040,72,1348-1360,27,0,Artificial intelligence (AI) live streaming | channel competition | live-streaming sales | supply chain,"Artificial intelligence (AI)-supported live streaming sales have emerged as a popular marketing strategy. Faced with competition from bricks-and-mortar (B&M) retailers, online retailers are considering how to utilize live streaming to enhance their competitive advantage. We develop a duopoly competition game model in which a B&M retailer sells a product through an offline channel, while an online retailer utilizes human-hosted or AI-supported live streaming to sell the product through an online channel. Our findings reveal that the B&M retailer can sustain a higher price and more profits unless the online retailer adopts live streaming sales. Human-hosted live streaming enables the online retailer to gain a competitive advantage, especially in the situation of low online acceptance with notable or minimal live streaming advantage, or high online acceptance with limited live streaming advantage. AI-supported live streaming proves beneficial when consumers encounter high hassle costs. Furthermore, we underscore the advantage of live streaming sales for the online retailer, noting that it can benefit from utilizing either human-hosted or AI-supported live streaming when consumers' hassle costs are between moderately low and not too high. Moreover, our study offers insights into the online retailer's optimal live streaming selection strategy that the choice between human-hosted and AI-supported live streaming depends on the cost of human-hosted live streaming and consumers' hassle costs.",3,OPS&TECH
2-s2.0-105025800493,10.28934/jwee25.34.pp25-45,2025,Almheiri A.; Chopra A.; Haddad A.,Almheiri A.,The Role of Artificial Intelligence in Empowering Women Entrepreneurs in the United Arab Emirates,Journal of Women S Entrepreneurship and Education,18211283,24060674,,19-39,0,1,AI-driven learning | artificial intelligence | business efficiency | financial inclusion | market analytics | women entrepreneurs,"In the recent era, artificial intelligence has entered the business sector by increasing business productivity, decision-making, and competitive advantage in markets for entrepreneurs. This is why the use of AI is a corresponding aspect of business activities across the globe. The study investigates the role of AI in supporting Emirati women entrepreneurs using mixed-method research. This approach allows research instruments like survey questionnaires and interviews to gain quantitative and qualitative insights. Using the convenience sampling procedure, quantitative data were gathered from 207 respondents, and interviews were conducted and analyses using descriptive and inferential statistics. The findings indicate that AI-powered automation enhances the effectiveness of operations, minimises bureaucracy, and fosters evidence-based decision-making. In addition, AI opens access to funding by simplifying credit analysis and investment prospects, thus eliminating conventional financing hurdles. AI-based learning solutions also enhance skills, giving women entrepreneurs the skills to manoeuvre flexible business environments. Moreover, AI-based market analytics delivers richer customer insights, allowing customized services and business growth. Despite these benefits, data privacy and technology adoption issues are still pertinent. The research finds that AI is a game-changing facilitator for women entrepreneurs, enabling business scale and limiting gender-based hindrances in entrepreneurship. The study’s policy implications underscore the imperative for inclusive AI adoption policy, focused training programs, and facilitating policies to achieve the fullest possible potential for AI in catalysing women’s business success.",,
2-s2.0-105017281983,10.1504/IJEWE.2025.148772,2025,Arslan A.; Cek K.,Arslan A.,"Environmental management accounting, environmental performance, firm performance: deep-learning based dual stage SEM-ANN approach",International Journal of Environment Workplace and Employment,17418437,17418445,9,157-174,0,1,ANN | artificial neural network | EMA | environmental management accounting | environmental performance | firm performance | SEM | structural equation modelling,"Environmental management accounting (EMA) has gained increasing importance in the healthcare sector, as empirical studies demonstrate its potential to enhance both environmental and financial outcomes. This research investigates the interrelations among EMA, environmental performance, and overall firm performance within healthcare organisations. To achieve a nuanced and reliable analysis, we employed a two‐stage methodology, combining structural equation modelling (SEM) with an artificial neural network (ANN) for predictive analytics. Our results indicate that EMA significantly improves environmental performance, which in turn mediates its effect on firm performance. These findings underscore that healthcare firms adopting EMA practices can simultaneously advance their ecological stewardship and financial well‐being. The study’s primary contribution lies in applying an integrated SEM-ANN framework to examine these relationships in the healthcare context.",,
2-s2.0-105008460428,10.15240/tul/001/2025-5-012,2025,Pu T.,Pu T.,Does digital transformation propel innovation strategies? An empirical investigation based on machine learning and the dynamic GMM approach,E A M Ekonomie A Management,12123609,23365064,28,81-96,5,1,Digital transformation | innovation strategies | R&D change | R&D growth | strategic innovation | substantive innovation,"In today’s digital landscape, the transformation through digital technologies is revolutionizing traditional business models and innovation practices. Numerous organizations are accelerating their digital transformation efforts to enhance manufacturing capabilities, operational efficiency, and competitive advantage. While the significant role of digital transformation in economic development has been widely recognized in academic literature, research exploring the complex interplay between digital transformation and innovation strategies remains limited. This study aims to explore this relationship by utilizing annual report data and patent information from Chinese listed companies over the period from 2012 to 2021. Our findings indicate that digital transformation has a positive impact on both R&D input strategies and innovation output strategies. Specifically, it increases firms’ propensity to invest in R&D activities, thereby increasing potential future innovation returns. Moreover, digital transformation bolsters both strategic and substantive innovation by leveraging digital capabilities for better resource integration. This paper significantly contributes to the existing literature on digital transformation and innovation strategies, offering valuable insights that can facilitate higher levels of digital transformation and promote high-quality economic development.",,
2-s2.0-105006724229,10.5281/zenodo.15272003,2025,Al-Doghan M.A.; Abdulhaeva S.,Al-Doghan M.A.,SHARED DECISION MAKING AND AI ROLE IN NON-FINANCIAL PERFORMANCE: EXPLORING MODERATING ROLE OF TOP MANAGEMENT SUPPORT AND SECURITY,Operational Research in Engineering Sciences Theory and Applications,26201607,26201747,8,69-90,0,0,AI Adoption | Non-Financial Performance | Security and Privacy Issues | Shared Decision-Making | Top Management Support,"This research investigates the effect of shared decision-making on nonfinancial performance, with specific attention to the mediating effect of using AI and the moderation effects of security and privacy concerns and top management support. In light of the growing use of AI in decision-making, this study offers important insights into how managerial-level staff view and utilize AI for better organizational performance. A quantitative method was used, with Structural Equation Modeling (SEM) applied in ADANCO to examine data from 245 managerial staff (assistant managers, deputy managers, and corresponding administrative posts). Validated measurement scales of previous studies were utilized, and reliability and validity were guaranteed by thorough statistical checks. Findings validate that shared decision-making largely improves nonfinancial performance and that AI facilitates this positively. Security and privacy concerns, though, moderate the AI-performance nexus, suggesting data protection issues have the potential to affect AI success. Top management support also bolsters the connection between shared decision-making and performance, emphasizing leadership's pivotal function. The research contributes to decision-making, AI adoption, and organizational leadership research by merging the human, technological, and managerial elements into an integrated model, providing theoretical and empirical understandings for organizations that aim to achieve sustainable competitive advantage.",,
2-s2.0-105025121983,10.1108/JBIM-09-2024-0706,2025,Tao Y.; Muhammad Muneeb F.; Wanke P.F.; Tan Y.,Tao Y.,Big data artificial intelligence to promote new product performance: the role of electronic-supply chain collaboration in B2B firms,Journal of Business and Industrial Marketing,08858624,,,1-14,3,0,Artificial intelligence capabilities | Big data analytical intelligence | Electronic supply chain collaboration | New product performance,"Purpose – This study aims to examine how big data analytical intelligence (BDAI) assimilation promotes new product performance (NPP) in business-to-business (B2B) manufacturing firms. This study tests the intermediary role of artificial intelligence (AI) capabilities and the contingency impact of electronic supply chain collaboration (ESCC) in the relationship between BDAI assimilation and NPP. Design/methodology/approach – Drawing on the dynamic capabilities theory (DCT), this study tests the moderated-mediation model using multi-wave, multi-source data collected from 291 Chinese B2B manufacturing firms. Structural equation modeling was applied to test the proposed hypotheses. Findings – The results demonstrate that BDAI assimilation significantly promotes NPP, and AI capabilities act as an intermediary bridge – empowering B2B firms to convert BDAI assimilation into enhanced NPP. This study further found that this mediation model is strengthened through the contingency impact of ESCC and increases its indirect effect on NPP. Practical implications – This study suggests that B2B managers and policy architects should recognize that investment in BDAI assimilation is not sufficient. However, building AI capabilities might fully support BDAI assimilation to gain innovation outcomes such as NPP. This study further suggests the practical implications of ESCC in achieving higher returns through AI capabilities in the B2B context. Originality/value – This study has threefold contributions to the existing literature on big data innovation and B2B firms. This study contributes to extend DCT by emphasizing AI capabilities as an intermediary channel and ESCC as a vital contingency – strengthening the relationship between BDAI assimilation and NPP. We contributed and understand how Chinese B2B firms strategically used big data and AI strategies to reach firms’ competitive advantage.",2,MKT
2-s2.0-105000702928,10.1109/TEM.2025.3552142,2025,Li L.; Li J.; Islam N.; Zhang J.Z.; Behl A.,Li L.,Empowering Firms With AI-Generated Content: Strategic Approaches to R&D and Advertising in the Era of Generative AI,IEEE Transactions on Engineering Management,00189391,15580040,72,1787-1798,12,0,Advertising | artificial intelligence training | artificial intelligence-generated content (AIGC) | generative artificial intelligence (GAI) | research and development (R&D) | self-learning,"Commercial utilization of generative artificial intelligence (GAI) is expanding rapidly. However, few studies have investigated the transformative impact of GAI on business operations, with a specific focus on research and development (R&D) and advertising facilitated by AI-generated content (AIGC) empowerment; particularly, there is a lack of analysis on the impact of AIGC iteration on firms’ decision-making. The study uses the optimal control and learning-by-doing method to examine two types of AIGC strategies, the single AIGC (enhancing R&D exclusively) and the dual AIGC (simultaneously boosting R&D and advertising), to delve into their dynamic iteration effects on firms’ performance. Our findings reveal that, under the single AIGC strategy, focusing on investments in the AI training R&D sector alone can enhance the GAI smartness level more effectively than adopting the dual AIGC strategy. Conversely, under the dual AIGC strategy, firms initially tend to select GAI empowerment toward the downstream advertising sector more than the upstream R&D sector. Both strategies demonstrate enhanced profits and increased demand with higher rates of AIGC self-learning. Notably, considering the limited budget, firms prioritize allocating AI training resources to the R&D sector under the dual AIGC strategy, guaranteeing their long-term success.",3,OPS&TECH
2-s2.0-105018685226,10.1108/EJM-06-2024-0463,2025,Aggarwal A.; Kumar V.; Srivastava R.K.,Aggarwal A.,Value creation and value appropriation using voice AI technology: integrating B2B and B2C marketplace,European Journal of Marketing,03090566,,,,0,0,"Anthropomorphism, | Artificial intelligence | Business models | Interaction orientation | Regulatory environment | Technology adoption | Value appropriation | Value creation | Voice AI technology","Purpose – While Voice AI technology (VAI) adoption has accelerated, firms struggle to create and appropriate value. This study aims to address the critical gap between widespread VAI adoption and elusive monetization by developing an integrated framework that guides strategic implementation decisions. It examines how firms should integrate B2B and B2C marketplaces to create value with VAI and identify optimal approaches for value appropriation through build versus buy decisions. Design/methodology/approach – This study employed a rigorous grounded theory methodology with methodological triangulation across three studies: consumer surveys (Study 1; n = 197), 18 structured focus groups with business professionals (Study 2) and in-depth expert interviews with decision-makers responsible for VAI implementation (Study 3). This systematic approach ensured comprehensive theory development validated through multiple stakeholder perspectives. Findings – The framework used in this study reveals several counterintuitive relationships challenging conventional technology implementation. The authors found that higher integration potential paradoxically leads to lower investment in proprietary solutions as firms leverage existing platforms. Regulatory constraints emerge as powerful counterforces that override otherwise compelling business incentives. Domain specialization significantly enhances perceived value and competitive advantage. Anthropomorphism produces different effects across use contexts in B2C market, requiring calibrated design approaches rather than uniform implementation. Research limitations/implications – Longitudinal research examining VAI’s influence on business value, customer acquisition and retention through behavioral data analysis would significantly advance understanding of long-term value creation mechanisms. Similarly, cross-cultural studies comparing VAI adoption patterns across regions with different privacy orientations, technological infrastructures and cultural attitudes toward AI could reveal important contextual boundaries to our framework. Finally, sector-specific investigations testing our framework across manufacturing, financial services, healthcare and hospitality would enhance its practical utility while potentially revealing industry-specific modifications. Practical implications – The framework used in this study provides actionable guidance across strategic positioning of VAI capabilities, implementation approach including investment sequencing and context-sensitive consumer experience design. These insights enable organizations to make more informed decisions, ultimately enhancing value creation and appropriation. Social implications – The findings highlight important trade-offs between regulatory protections and business innovation, offering policymakers insights for developing balanced frameworks that safeguard consumer interests while enabling technological advancement. Originality/value – The paper proposes an integrated framework for VAI value creation and monetization. It demonstrates bidirectional influence of B2B and B2C marketplace for implementation and monetization success. This study makes three significant contributions: bridging information systems and marketing perspectives, extending technology adoption research beyond initial acceptance to examine counterintuitive factors influencing postadoption value extraction and revealing how the interplay between B2B and B2C marketplaces creates unique dynamics in VAI implementation.",3,MKT
2-s2.0-105010888915,10.57017/jorit.v4.2(8).06,2025,Тerentieva N.; Karpenko V.; Yarova N.; Shkvyria N.; Pasko M.,Тerentieva N.,Technological Innovation in Digital Brand Management: Leveraging Artificial Intelligence and Immersive Experiences,Journal of Research Innovation and Technologies,,29718317,4,201-223,19,1,AI | consumer engagement | digital brand management | direct-to-consumer strategy | experiential marketing,"The digital transformation has fundamentally reshaped brand management, moving from traditional mass communication to data-driven, interactive, and highly personalized strategies. With emerging technologies such as artificial intelligence (AI), augmented reality, and digital ecosystems, brands are now engaging consumers in innovative ways to enhance loyalty and gain a competitive advantage. This study examines how leading brands, such as Nike, Apple, and Coca-Cola, employ digital brand management strategies to enhance brand equity, boost consumer engagement, and maintain market leadership. A multiple-case study approach was employed to analyse this. Data was collected through archival research, social media analytics, and consumer sentiment analysis to assess the impact and effectiveness of these strategies. The study examines key digital branding elements, including direct-to-consumer (DTC) models, experiential marketing, and interactive campaigns. The findings reveal that Nike's DTC strategy fosters direct consumer relationships and strengthens brand equity. Apple's experiential marketing and storytelling foster emotional brand loyalty, while Coca-Cola's personalized and interactive digital campaigns drive consumer engagement and social media virality. These strategies demonstrate the growing importance of AI-driven personalization, omnichannel consistency, and consumer-centric engagement. The study concludes that brands prioritizing AI-powered personalization and immersive digital experiences achieve stronger consumer engagement and long-term brand growth. Practical implications suggest businesses integrate AI-driven analytics, invest in emerging technologies, and adopt consumer-focused digital strategies. Future research should investigate the long-term effects of AI-driven brand interactions and examine the role of Web3 and the Metaverse in shaping the future of digital brand management.",,
2-s2.0-105005737618,10.31181/dmame8120251366,2025,Visuthiphol S.; Pankham S.,Visuthiphol S.,Artificial Intelligence-Enabled Decision Making in Social Media Adoption for Sustainable Digital Business in Thai SMEs,Decision Making Applications in Management and Engineering,25606018,26200104,8,333-347,1,1,Advantage | Artificial Intelligence | Competitive | Delphi | Entrepreneurial Orientation | Rough Set e- | SEM | SMEs | Social Media | Sustainability,"This study develops and validates a structural equation modeling (SEM) to examine social media adoption by SMEs and its impact on sustainability. It aims to identify key factors influencing SMEs sustainability in the digital context and explore their interrelationships. This study employed a mixed-methods approach. In the qualitative phase, the Rough Set e-Delphi technique was utilised to collect insights from experts and refine the research constructs through three rounds of online questionnaires, involving 20 experts. The quantitative phase involved a survey of 776 executives from Thai SMEs, which served as the primary data collection method. The study results indicate that social media adoption is positively influenced by four factors: perceived usefulness, perceived ease of use, compatibility, and business orientation. The implementation of social media networks has a positive impact, enhancing both performance metrics and competitive advantages for SMEs. This research confirms that the sustainable performance of SMEs significantly contributes to sustainability across their business processes. The findings demonstrate that social media serves as a powerful tool for improving SMEs operations, while fostering competitive advantages that support sustainability. This study demonstrates that entrepreneurial orientation, in conjunction with technology acceptance, facilitates social media adoption. It offers practical implications for artificial intelligence engineering by exploring how AI systems, with digital analytical capabilities, automated functions, and predictive modelling, can improve operational decision-making, supply chain management, and overall performance in SMEs. The insights gained can be utilised by SMEs owners, policymakers, and researchers to enhance the use of social media through AI-driven strategies, promoting sustainable SME growth in emerging economies.",,
